Mo_hinh,R2_train,R2_test,Khoang_cach_R2,MAE_test,RMSE_test
Tu dong chon bac + Ridge,0.9789228462514173,0.8373692080724181,0.14155363817899924,0.7453089155657477,0.7966494852933727
"Lasso: bac 8, alpha=0.01",0.981268605958179,0.7534648484565096,0.22780375750166937,0.8911044658846548,0.980856144081953
"Ridge: bac 8, alpha=10",0.8964892385802982,0.7522089535176983,0.14428028506259982,0.8741444084302745,0.983351300295339
Giam do phuc tap: da thuc bac 2,0.989439010400817,0.5445611983662346,0.44487781203458243,0.8986895749024703,1.333155797157859
Overfit: da thuc bac 8,1.0,-180.0312860528222,181.0312860528222,12.885810884532285,26.579249249979455
